INFO 2025-06-09 17:14:22,359 storage_backends Getting available name for: videos/thumbnails/No.jpg
INFO 2025-06-09 17:14:22,702 storage_backends Saving file: videos/thumbnails/No.jpg
INFO 2025-06-09 17:14:22,702 storage_backends Cleaned file name: media/No.jpg
INFO 2025-06-09 17:14:23,153 storage_backends File saved successfully: media/No.jpg
INFO 2025-06-09 17:14:23,154 storage_backends Getting available name for: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 17:14:23,207 storage_backends Saving file: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 17:14:23,207 storage_backends Cleaned file name: media/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 17:14:25,903 storage_backends File saved successfully: media/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 17:17:12,262 storage_backends Getting available name for: videos/thumbnails/No.jpg
INFO 2025-06-09 17:17:12,511 storage_backends Saving file: videos/thumbnails/No.jpg
INFO 2025-06-09 17:17:12,511 storage_backends Cleaned file name: media/No.jpg
INFO 2025-06-09 17:17:12,934 storage_backends File saved successfully: media/No.jpg
INFO 2025-06-09 17:17:12,935 storage_backends Getting available name for: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 17:17:12,974 storage_backends Saving file: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 17:17:12,974 storage_backends Cleaned file name: media/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 17:17:15,152 storage_backends File saved successfully: media/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 17:24:12,088 storage_backends Getting available name for: videos/thumbnails/No.jpg
INFO 2025-06-09 17:24:12,392 storage_backends Saving file: videos/thumbnails/No.jpg
INFO 2025-06-09 17:24:12,392 storage_backends Cleaned file name: media/No.jpg
INFO 2025-06-09 17:24:12,885 storage_backends File saved successfully: media/No.jpg
INFO 2025-06-09 17:24:12,886 storage_backends Getting available name for: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
INFO 2025-06-09 17:24:12,941 storage_backends Saving file: videos/files/WhatsApp_Video_2025-06-09_at_5.12.16_PM.mp4
